Car_Name,Age,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
ritz,5,3.35,27000,Petrol,Dealer,Manual
sx4,6,4.75,43000,Diesel,Dealer,Manual
ciaz,2,7.25,6900,Petrol,Dealer,Manual
wagon r,8,2.85,5200,Petrol,Dealer,Manual
swift,5,4.6,42450,Diesel,Dealer,Manual
vitara brezza,1,9.25,2071,Diesel,Dealer,Manual
ciaz,4,6.75,18796,Petrol,Dealer,Manual
s cross,4,6.5,33429,Diesel,Dealer,Manual
ciaz,3,8.75,20273,Diesel,Dealer,Manual
ciaz,4,7.45,42367,Diesel,Dealer,Manual
alto 800,2,2.85,2135,Petrol,Dealer,Manual
ciaz,4,6.85,51000,Diesel,Dealer,Manual
ciaz,4,7.5,15000,Petrol,Dealer,Automatic
ertiga,4,6.1,26000,Petrol,Dealer,Manual
dzire,10,2.25,77427,Petrol,Dealer,Manual
ertiga,3,7.75,43000,Diesel,Dealer,Manual
ertiga,4,7.25,41678,Diesel,Dealer,Manual
ertiga,3,7.75,43000,Diesel,Dealer,Manual
wagon r,4,3.25,35500,CNG,Dealer,Manual
sx4,9,2.65,41442,Petrol,Dealer,Manual
alto k10,3,2.85,25000,Petrol,Dealer,Manual
ignis,2,4.9,2400,Petrol,Dealer,Manual
sx4,8,4.4,50000,Petrol,Dealer,Automatic
alto k10,5,2.5,45280,Petrol,Dealer,Manual
wagon r,6,2.9,56879,Petrol,Dealer,Manual
swift,8,3,20000,Petrol,Dealer,Manual
swift,6,4.15,55138,Petrol,Dealer,Manual
swift,2,6,16200,Petrol,Individual,Manual
alto k10,9,1.95,44542,Petrol,Dealer,Manual
ciaz,4,7.45,45000,Diesel,Dealer,Manual
ritz,7,3.1,51439,Diesel,Dealer,Manual
ritz,8,2.35,54200,Petrol,Dealer,Manual
swift,5,4.95,39000,Diesel,Dealer,Manual
ertiga,5,6,45000,Diesel,Dealer,Manual
dzire,5,5.5,45000,Diesel,Dealer,Manual
sx4,8,2.95,49998,CNG,Dealer,Manual
dzire,4,4.65,48767,Petrol,Dealer,Manual
800,16,0.35,127000,Petrol,Individual,Manual
alto k10,3,3,10079,Petrol,Dealer,Manual
sx4,16,2.25,62000,Petrol,Dealer,Manual
baleno,3,5.85,24524,Petrol,Dealer,Automatic
alto k10,5,2.55,46706,Petrol,Dealer,Manual
sx4,11,1.95,58000,Petrol,Dealer,Manual
dzire,5,5.5,45780,Diesel,Dealer,Manual
omni,7,1.25,50000,Petrol,Dealer,Manual
ciaz,5,7.5,15000,Petrol,Dealer,Automatic
ritz,6,2.65,64532,Petrol,Dealer,Manual
wagon r,13,1.05,65000,Petrol,Dealer,Manual
ertiga,4,5.8,25870,Petrol,Dealer,Manual
ciaz,2,7.75,37000,Petrol,Dealer,Automatic
fortuner,7,14.9,104707,Diesel,Dealer,Automatic
fortuner,4,23,40000,Diesel,Dealer,Automatic
innova,2,18,15000,Diesel,Dealer,Automatic
fortuner,6,16,135000,Diesel,Individual,Automatic
innova,14,2.75,90000,Petrol,Individual,Manual
corolla altis,10,3.6,70000,Petrol,Dealer,Automatic
etios cross,4,4.5,40534,Petrol,Dealer,Manual
corolla altis,9,4.75,50000,Petrol,Dealer,Manual
etios g,5,4.1,39485,Petrol,Dealer,Manual
fortuner,5,19.99,41000,Diesel,Dealer,Automatic
corolla altis,6,6.95,40001,Petrol,Dealer,Manual
etios cross,4,4.5,40588,Petrol,Dealer,Manual
fortuner,5,18.75,78000,Diesel,Dealer,Automatic
fortuner,4,23.5,47000,Diesel,Dealer,Automatic
fortuner,2,33,6000,Diesel,Dealer,Automatic
etios liva,5,4.75,45000,Diesel,Dealer,Manual
innova,2,19.75,11000,Petrol,Dealer,Automatic
fortuner,9,9.25,59000,Diesel,Dealer,Manual
corolla altis,8,4.35,88000,Petrol,Dealer,Manual
corolla altis,3,14.25,12000,Petrol,Dealer,Manual
etios liva,5,3.95,71000,Diesel,Dealer,Manual
corolla altis,8,4.5,45000,Diesel,Dealer,Manual
corolla altis,6,7.45,56001,Petrol,Dealer,Manual
etios liva,8,2.65,43000,Petrol,Dealer,Manual
etios cross,5,4.9,83000,Diesel,Dealer,Manual
etios g,4,3.95,36000,Petrol,Dealer,Manual
corolla altis,6,5.5,72000,Petrol,Dealer,Manual
corolla,15,1.5,135154,Petrol,Dealer,Automatic
corolla altis,9,5.25,80000,Petrol,Dealer,Automatic
fortuner,7,14.5,89000,Diesel,Dealer,Automatic
corolla altis,3,14.73,23000,Diesel,Dealer,Manual
etios gd,4,4.75,40000,Diesel,Dealer,Manual
innova,2,23,15000,Diesel,Dealer,Automatic
innova,4,12.5,38000,Diesel,Dealer,Manual
innova,14,3.49,197176,Diesel,Dealer,Manual
camry,13,2.5,142000,Petrol,Individual,Automatic
land cruiser,9,35,78000,Diesel,Dealer,Manual
corolla altis,7,5.9,56000,Petrol,Dealer,Manual
etios liva,6,3.45,47000,Petrol,Dealer,Manual
etios g,5,4.75,40000,Petrol,Dealer,Manual
corolla altis,10,3.8,62000,Petrol,Dealer,Manual
innova,5,11.25,58242,Diesel,Dealer,Manual
innova,14,3.51,75000,Petrol,Dealer,Manual
fortuner,4,23,40000,Diesel,Dealer,Automatic
corolla altis,11,4,89000,Petrol,Dealer,Automatic
corolla altis,7,5.85,72000,Petrol,Dealer,Manual
innova,3,20.75,29000,Diesel,Dealer,Automatic
corolla altis,2,17,8700,Petrol,Dealer,Manual
corolla altis,6,7.05,45000,Petrol,Dealer,Manual
fortuner,9,9.65,50024,Diesel,Dealer,Manual
Royal Enfield Thunder 500,3,1.75,3000,Petrol,Individual,Manual
UM Renegade Mojave,2,1.7,1400,Petrol,Individual,Manual
KTM RC200,2,1.65,4000,Petrol,Individual,Manual
Bajaj Dominar 400,2,1.45,1200,Petrol,Individual,Manual
Royal Enfield Classic 350,2,1.35,4100,Petrol,Individual,Manual
KTM RC390,4,1.35,21700,Petrol,Individual,Manual
Hyosung GT250R,5,1.35,16500,Petrol,Individual,Manual
Royal Enfield Thunder 350,6,1.25,15000,Petrol,Individual,Manual
Royal Enfield Thunder 350,3,1.2,18000,Petrol,Individual,Manual
Royal Enfield Classic 350,2,1.2,11000,Petrol,Individual,Manual
KTM RC200,3,1.2,6000,Petrol,Individual,Manual
Royal Enfield Thunder 350,3,1.15,8700,Petrol,Individual,Manual
KTM 390 Duke,5,1.15,7000,Petrol,Individual,Manual
Mahindra Mojo XT300,3,1.15,35000,Petrol,Individual,Manual
Royal Enfield Classic 350,4,1.15,17000,Petrol,Individual,Manual
Royal Enfield Classic 350,4,1.11,17500,Petrol,Individual,Manual
Royal Enfield Classic 350,6,1.1,33000,Petrol,Individual,Manual
Royal Enfield Thunder 500,4,1.1,14000,Petrol,Individual,Manual
Royal Enfield Classic 350,4,1.1,26000,Petrol,Individual,Manual
Royal Enfield Thunder 500,6,1.05,5400,Petrol,Individual,Manual
Bajaj Pulsar RS200,3,1.05,5700,Petrol,Individual,Manual
Royal Enfield Thunder 350,8,1.05,6900,Petrol,Individual,Manual
Royal Enfield Bullet 350,3,1.05,6000,Petrol,Individual,Manual
Royal Enfield Classic 350,6,1,46500,Petrol,Individual,Manual
Royal Enfield Classic 500,7,0.95,11500,Petrol,Individual,Manual
Royal Enfield Classic 500,10,0.9,40000,Petrol,Individual,Manual
Bajaj Avenger 220,2,0.9,1300,Petrol,Individual,Manual
Bajaj Avenger 150,3,0.75,7000,Petrol,Individual,Manual
Honda CB Hornet 160R,2,0.8,3000,Petrol,Individual,Manual
Yamaha FZ S V 2.0,2,0.78,5000,Petrol,Individual,Manual
Honda CB Hornet 160R,2,0.75,11000,Petrol,Individual,Manual
Yamaha FZ 16,4,0.75,18000,Petrol,Individual,Manual
Bajaj Avenger 220,2,0.75,3500,Petrol,Individual,Manual
Bajaj Avenger 220,3,0.72,500,Petrol,Individual,Manual
TVS Apache RTR 160,2,0.65,11800,Petrol,Individual,Manual
Bajaj Pulsar 150,4,0.65,5000,Petrol,Individual,Manual
Honda CBR 150,5,0.65,23500,Petrol,Individual,Manual
Hero Extreme,6,0.65,16000,Petrol,Individual,Manual
Honda CB Hornet 160R,3,0.6,15000,Petrol,Individual,Manual
Bajaj Avenger 220 dtsi,4,0.6,16600,Petrol,Individual,Manual
Honda CBR 150,6,0.6,32000,Petrol,Individual,Manual
Bajaj Avenger 150 street,3,0.6,20000,Petrol,Individual,Manual
Yamaha FZ  v 2.0,4,0.6,29000,Petrol,Individual,Manual
Yamaha FZ  v 2.0,3,0.6,25000,Petrol,Individual,Manual
Bajaj Pulsar  NS 200,5,0.6,25000,Petrol,Individual,Manual
TVS Apache RTR 160,7,0.6,19000,Petrol,Individual,Manual
Hero Extreme,5,0.55,15000,Petrol,Individual,Manual
Yamaha FZ S V 2.0,4,0.55,58000,Petrol,Individual,Manual
Bajaj Pulsar 220 F,9,0.52,45000,Petrol,Individual,Manual
Bajaj Pulsar 220 F,3,0.51,24000,Petrol,Individual,Manual
TVS Apache RTR 180,8,0.5,6000,Petrol,Individual,Manual
Hero Passion X pro,3,0.5,31000,Petrol,Individual,Manual
Bajaj Pulsar NS 200,7,0.5,13000,Petrol,Individual,Manual
Bajaj Pulsar NS 200,6,0.5,45000,Petrol,Individual,Manual
Yamaha Fazer,5,0.5,8000,Petrol,Individual,Manual
Honda Activa 4G,2,0.48,4300,Petrol,Individual,Automatic
TVS Sport,2,0.48,15000,Petrol,Individual,Manual
Yamaha FZ S V 2.0,4,0.48,23000,Petrol,Individual,Manual
Honda Dream Yuga,2,0.48,8600,Petrol,Individual,Manual
Honda Activa 4G,2,0.45,4000,Petrol,Individual,Automatic
Bajaj Avenger Street 220,8,0.45,24000,Petrol,Individual,Manual
TVS Apache RTR 180,5,0.45,23000,Petrol,Individual,Manual
Bajaj Pulsar NS 200,7,0.45,14500,Petrol,Individual,Manual
Bajaj Avenger 220 dtsi,9,0.45,27000,Petrol,Individual,Manual
Hero Splender iSmart,3,0.45,14000,Petrol,Individual,Manual
Activa 3g,3,0.45,500,Petrol,Individual,Automatic
Hero Passion Pro,3,0.45,1000,Petrol,Individual,Manual
TVS Apache RTR 160,5,0.42,42000,Petrol,Individual,Manual
Honda CB Trigger,6,0.42,12000,Petrol,Individual,Manual
Hero Splender iSmart,4,0.4,14000,Petrol,Individual,Manual
Yamaha FZ S,7,0.4,5500,Petrol,Individual,Manual
Hero Passion Pro,4,0.4,6700,Petrol,Individual,Manual
Bajaj Pulsar 135 LS,5,0.4,13700,Petrol,Individual,Manual
Activa 4g,2,0.4,1300,Petrol,Individual,Automatic
Honda CB Unicorn,4,0.38,38600,Petrol,Individual,Manual
Hero Honda CBZ extreme,8,0.38,75000,Petrol,Individual,Manual
Honda Karizma,8,0.35,30000,Petrol,Individual,Manual
Honda Activa 125,3,0.35,24000,Petrol,Individual,Automatic
TVS Jupyter,5,0.35,19000,Petrol,Individual,Automatic
Honda Karizma,9,0.31,213000,Petrol,Individual,Manual
Hero Honda Passion Pro,7,0.3,60000,Petrol,Individual,Manual
Hero Splender Plus,3,0.3,50000,Petrol,Individual,Manual
Honda CB Shine,6,0.3,30000,Petrol,Individual,Manual
Bajaj Discover 100,6,0.27,21000,Petrol,Individual,Manual
Bajaj Pulsar 150,11,0.25,26000,Petrol,Individual,Manual
Suzuki Access 125,11,0.25,1900,Petrol,Individual,Automatic
TVS Wego,9,0.25,22000,Petrol,Individual,Automatic
Honda CB twister,6,0.25,32000,Petrol,Individual,Manual
Hero Glamour,6,0.25,18000,Petrol,Individual,Manual
Hero Super Splendor,14,0.2,55000,Petrol,Individual,Manual
Bajaj Pulsar 150,11,0.2,60000,Petrol,Individual,Manual
Bajaj Discover 125,7,0.2,25000,Petrol,Individual,Manual
Hero Hunk,12,0.2,49000,Petrol,Individual,Manual
Hero  Ignitor Disc,6,0.2,24000,Petrol,Individual,Manual
Hero  CBZ Xtreme,11,0.2,50000,Petrol,Individual,Manual
Bajaj  ct 100,4,0.18,35000,Petrol,Individual,Manual
Activa 3g,11,0.17,500000,Petrol,Individual,Automatic
Honda CB twister,9,0.16,33000,Petrol,Individual,Manual
Bajaj Discover 125,8,0.15,35000,Petrol,Individual,Manual
Honda CB Shine,12,0.12,53000,Petrol,Individual,Manual
Bajaj Pulsar 150,13,0.1,92233,Petrol,Individual,Manual
i20,9,3.25,58000,Diesel,Dealer,Manual
grand i10,4,4.4,28200,Petrol,Dealer,Manual
i10,8,2.95,53460,Petrol,Dealer,Manual
eon,4,2.75,28282,Petrol,Dealer,Manual
grand i10,3,5.25,3493,Petrol,Dealer,Manual
xcent,2,5.75,12479,Petrol,Dealer,Manual
grand i10,4,5.15,34797,Petrol,Dealer,Automatic
i20,2,7.9,3435,Petrol,Dealer,Manual
grand i10,4,4.85,21125,Diesel,Dealer,Manual
i10,7,3.1,35775,Petrol,Dealer,Manual
elantra,4,11.75,43535,Diesel,Dealer,Manual
creta,3,11.25,22671,Petrol,Dealer,Manual
i20,8,2.9,31604,Petrol,Dealer,Manual
grand i10,2,5.25,20114,Petrol,Dealer,Manual
verna,7,4.5,36100,Petrol,Dealer,Manual
eon,3,2.9,12500,Petrol,Dealer,Manual
eon,3,3.15,15000,Petrol,Dealer,Manual
verna,5,6.45,45078,Petrol,Dealer,Manual
verna,7,4.5,36000,Petrol,Dealer,Manual
eon,2,3.5,38488,Petrol,Dealer,Manual
i20,6,4.5,32000,Petrol,Dealer,Automatic
i20,5,6,77632,Diesel,Dealer,Manual
verna,4,8.25,61381,Diesel,Dealer,Manual
verna,6,5.11,36198,Petrol,Dealer,Automatic
i10,8,2.7,22517,Petrol,Dealer,Manual
grand i10,4,5.25,24678,Petrol,Dealer,Manual
i10,8,2.55,57000,Petrol,Dealer,Manual
verna,7,4.95,60000,Diesel,Dealer,Manual
i20,7,3.1,52132,Diesel,Dealer,Manual
verna,6,6.15,45000,Diesel,Dealer,Manual
verna,2,9.25,15001,Petrol,Dealer,Manual
elantra,4,11.45,12900,Petrol,Dealer,Automatic
grand i10,6,3.9,53000,Diesel,Dealer,Manual
grand i10,4,5.5,4492,Petrol,Dealer,Manual
verna,2,9.1,15141,Petrol,Dealer,Manual
eon,3,3.1,11849,Petrol,Dealer,Manual
creta,4,11.25,68000,Diesel,Dealer,Manual
verna,6,4.8,60241,Petrol,Dealer,Manual
eon,7,2,23709,Petrol,Dealer,Manual
verna,7,5.35,32322,Diesel,Dealer,Manual
xcent,4,4.75,35866,Petrol,Dealer,Manual
xcent,5,4.4,34000,Petrol,Dealer,Manual
i20,3,6.25,7000,Petrol,Dealer,Manual
verna,6,5.95,49000,Diesel,Dealer,Manual
verna,7,5.2,71000,Diesel,Dealer,Manual
i20,7,3.75,35000,Petrol,Dealer,Manual
verna,4,5.95,36000,Petrol,Dealer,Manual
i10,6,4,30000,Petrol,Dealer,Manual
i20,3,5.25,17000,Petrol,Dealer,Manual
creta,3,12.9,35934,Diesel,Dealer,Manual
city,6,5,56701,Petrol,Dealer,Manual
brio,4,5.4,31427,Petrol,Dealer,Automatic
city,5,7.2,48000,Diesel,Dealer,Manual
city,6,5.25,54242,Petrol,Dealer,Manual
brio,7,3,53675,Petrol,Dealer,Manual
city,3,10.25,49562,Petrol,Dealer,Manual
city,4,8.5,40324,Petrol,Dealer,Manual
city,4,8.4,25000,Petrol,Dealer,Manual
amaze,5,3.9,36054,Petrol,Dealer,Manual
city,3,9.15,29223,Petrol,Dealer,Manual
brio,3,5.5,5600,Petrol,Dealer,Manual
amaze,4,4,40023,Petrol,Dealer,Manual
jazz,3,6.6,16002,Petrol,Dealer,Manual
amaze,4,4,40026,Petrol,Dealer,Manual
jazz,2,6.5,21200,Petrol,Dealer,Manual
amaze,5,3.65,35000,Petrol,Dealer,Manual
city,3,8.35,19434,Diesel,Dealer,Manual
brio,2,4.8,19000,Petrol,Dealer,Manual
city,4,6.7,18828,Petrol,Dealer,Manual
city,8,4.1,69341,Petrol,Dealer,Manual
city,10,3,69562,Petrol,Dealer,Manual
city,4,7.5,27600,Petrol,Dealer,Manual
jazz,9,2.25,61203,Petrol,Dealer,Manual
brio,5,5.3,16500,Petrol,Dealer,Manual
city,3,10.9,30753,Petrol,Dealer,Automatic
city,4,8.65,24800,Petrol,Dealer,Manual
city,4,9.7,21780,Petrol,Dealer,Manual
jazz,3,6,4000,Petrol,Dealer,Manual
city,5,6.25,40126,Petrol,Dealer,Manual
brio,4,5.25,14465,Petrol,Dealer,Manual
city,13,2.1,50456,Petrol,Dealer,Manual
city,5,8.25,63000,Diesel,Dealer,Manual
city,3,8.99,9010,Petrol,Dealer,Manual
brio,6,3.5,9800,Petrol,Dealer,Manual
jazz,3,7.4,15059,Petrol,Dealer,Automatic
jazz,3,5.65,28569,Petrol,Dealer,Manual
amaze,4,5.75,44000,Petrol,Dealer,Automatic
city,4,8.4,34000,Petrol,Dealer,Manual
city,3,10.11,10980,Petrol,Dealer,Manual
amaze,5,4.5,19000,Petrol,Dealer,Manual
brio,4,5.4,31427,Petrol,Dealer,Manual
jazz,3,6.4,12000,Petrol,Dealer,Manual
city,9,3.25,38000,Petrol,Dealer,Manual
amaze,5,3.75,33019,Petrol,Dealer,Manual
city,4,8.55,60076,Diesel,Dealer,Manual
city,3,9.5,33988,Diesel,Dealer,Manual
brio,4,4,60000,Petrol,Dealer,Manual
city,10,3.35,87934,Petrol,Dealer,Manual
city,2,11.5,9000,Diesel,Dealer,Manual
brio,3,5.3,5464,Petrol,Dealer,Manual